url,referring_domains,estimated_organic_traffic
https://allmedtests.com/category/biochemistry/,0,unknown
https://allmedtests.com/category/carbohydrates/,0,unknown
https://allmedtests.com/category/clinical-techniques/,0,unknown
https://allmedtests.com/category/general/,0,unknown
https://allmedtests.com/category/laboratory-techniques/,0,unknown
https://allmedtests.com/category/lipdis/,0,unknown
https://allmedtests.com/category/physiology/,0,unknown
https://allmedtests.com/category/proteins/,0,unknown
https://allmedtests.com/tag/5th-cranial-nerve-test/,0,unknown
https://allmedtests.com/tag/5th-cranial-nerve/,0,unknown
https://allmedtests.com/tag/abducent-nerve-examination/,0,unknown
https://allmedtests.com/tag/abo-and-rh-blood-grouping/,0,unknown
https://allmedtests.com/tag/abo-blood-grouping/,0,unknown
https://allmedtests.com/tag/aldose-and-ketose-sugar/,0,unknown
https://allmedtests.com/tag/amino-acids-paper-chromatography/,0,unknown
https://allmedtests.com/tag/ankle-jerk/,0,unknown
https://allmedtests.com/tag/anthrone-reagent/,0,unknown
https://allmedtests.com/tag/anthrone-test/,0,unknown
https://allmedtests.com/tag/anthrone/,0,unknown
https://allmedtests.com/tag/ast-test/,0,unknown
https://allmedtests.com/tag/bails-test-procedure/,0,unknown
https://allmedtests.com/tag/bails-test-reagent/,0,unknown
https://allmedtests.com/tag/bails-test-result/,0,unknown
https://allmedtests.com/tag/bails-test/,0,unknown
https://allmedtests.com/tag/barfoed-reagent/,0,unknown
https://allmedtests.com/tag/barfoed-test/,0,unknown
https://allmedtests.com/tag/barfoeds-test/,0,unknown
https://allmedtests.com/tag/benedicts-test/,0,unknown
https://allmedtests.com/tag/bilirubin-test/,0,unknown
https://allmedtests.com/tag/biuret-method/,0,unknown
https://allmedtests.com/tag/blood-collection/,0,unknown
https://allmedtests.com/tag/blood-glucose-test/,0,unknown
https://allmedtests.com/tag/blood-urea/,0,unknown
https://allmedtests.com/tag/blunt-injury/,0,unknown
https://allmedtests.com/tag/bulk-of-muscles/,0,unknown
https://allmedtests.com/tag/carbohydrates-general-test/,0,unknown
https://allmedtests.com/tag/cholesterol-oxidase-method/,0,unknown
https://allmedtests.com/tag/cholesterol-test/,0,unknown
https://allmedtests.com/tag/ck-enzyme/,0,unknown
https://allmedtests.com/tag/ck-estimation/,0,unknown
https://allmedtests.com/tag/clinical-examination-of-facial-nerve/,0,unknown
https://allmedtests.com/tag/clinical-examination/,0,unknown
https://allmedtests.com/tag/collect-blood/,0,unknown
https://allmedtests.com/tag/collection-of-blood/,0,unknown
https://allmedtests.com/tag/coordination-tests/,0,unknown
https://allmedtests.com/tag/corneal-reflexes/,0,unknown
https://allmedtests.com/tag/cortical-sensory-functions/,0,unknown
https://allmedtests.com/tag/cranial-nerve-7-test/,0,unknown
https://allmedtests.com/tag/creatine-kinase-test/,0,unknown
https://allmedtests.com/tag/creatine-kinase/,0,unknown
https://allmedtests.com/tag/creatinin-determination-jaffes-method/,0,unknown
https://allmedtests.com/tag/creatinine-clearance-test-principle/,0,unknown
https://allmedtests.com/tag/creatinine-clearance-test-procedure/,0,unknown
https://allmedtests.com/tag/creatinine-clearance-test/,0,unknown
https://allmedtests.com/tag/cunjunctival-reflex/,0,unknown
https://allmedtests.com/tag/dam-method/,0,unknown
https://allmedtests.com/tag/deep-tendon-reflexes/,0,unknown
https://allmedtests.com/tag/demonstrate-ankle-and-patellar-clonus/,0,unknown
https://allmedtests.com/tag/demonstrate-superficial-reflexes-on-subject/,0,unknown
https://allmedtests.com/tag/demostration-of-deep-tendon-reflexes/,0,unknown
https://allmedtests.com/tag/determination-of-plasma-proteins-by-biuret-method/,0,unknown
https://allmedtests.com/tag/determination-of-serum-creatinin/,0,unknown
https://allmedtests.com/tag/dexamethasone-suppression-test/,0,unknown
https://allmedtests.com/tag/diacetyl-monoxime-method/,0,unknown
https://allmedtests.com/tag/differential-leukocyte-count-applications/,0,unknown
https://allmedtests.com/tag/differential-leukocyte-count-procedure/,0,unknown
https://allmedtests.com/tag/differential-leukocyte-count-result/,0,unknown
https://allmedtests.com/tag/differential-leukocyte-count/,0,unknown
https://allmedtests.com/tag/dst-results/,0,unknown
https://allmedtests.com/tag/estimation-of-blood-glucose-by-glucose-oxidase/,0,unknown
https://allmedtests.com/tag/estimation-of-blood-glucose/,0,unknown
https://allmedtests.com/tag/estimation-of-blood-urea/,0,unknown
https://allmedtests.com/tag/estimation-of-serum-urea/,0,unknown
https://allmedtests.com/tag/examination-of-trigeminal-nerve/,0,unknown
https://allmedtests.com/tag/facial-nerve-examination/,0,unknown
https://allmedtests.com/tag/facial-nerve-test/,0,unknown
https://allmedtests.com/tag/finger-nose-test/,0,unknown
https://allmedtests.com/tag/finger-to-nose-test-procedure/,0,unknown
https://allmedtests.com/tag/finger-to-nose-test/,0,unknown
https://allmedtests.com/tag/flare-formation/,0,unknown
https://allmedtests.com/tag/folin-wu-method-precautions/,0,unknown
https://allmedtests.com/tag/folin-wu-method-procedure/,0,unknown
https://allmedtests.com/tag/folin-wu-method/,0,unknown
https://allmedtests.com/tag/glucose-oxidase-method/,0,unknown
https://allmedtests.com/tag/heel-shin-test/,0,unknown
https://allmedtests.com/tag/heel-to-shin-test-procedue/,0,unknown
https://allmedtests.com/tag/heel-to-shin-test/,0,unknown
